,name,location,device_id,label,count,X_UnCal_mean,X_UnCal_std,X_UnCal_min,X_UnCal_25%,X_UnCal_50%,X_UnCal_75%,X_UnCal_max,Y_UnCal_mean,Y_UnCal_std,Y_UnCal_min,Y_UnCal_25%,Y_UnCal_50%,Y_UnCal_75%,Y_UnCal_max,Z_UnCal_mean,Z_UnCal_std,Z_UnCal_min,Z_UnCal_25%,Z_UnCal_50%,Z_UnCal_75%,Z_UnCal_max,Intensity_mean,Intensity_std,Intensity_min,Intensity_25%,Intensity_50%,Intensity_75%,Intensity_max,X_Bias,Y_Bias,Z_Bias,Bias_Intensity,Accuracy,fourier_mean,fourier_std,fourier_min,fourier_25%,fourier_50%,fourier_75%,fourier_max
0,LATERNAWithTraffic2_000,Restaurant,029a77f196804217,5,1000.0,32.3765395977,6.159823326647306,7.62,34.02,34.38,34.739998,35.76,-30.45227958908,10.987194452936256,-35.399998,-34.2,-33.84,-33.42,7.8599997,-25.286159664000003,2.362495108786225,-34.86,-25.26,-24.779999,-24.3,-19.74,52.43720408265541,5.423981182187614,31.474618345581256,53.82504840117548,54.22673936896215,54.521300119854196,55.41434301658737,36.0,-13.92,-0.9,38.60798363033221,1,2.9884536084314597,17.570595518253796,0.12388670921524134,0.19463022577221967,0.2227085354106157,0.5205178666153455,124.60765911308631
1,LATERNAWithTraffic2_001,Restaurant,029a77f196804217,5,1000.0,34.369199587000004,0.44775156583160347,33.12,34.079998,34.38,34.68,35.76,-33.795959522,0.42335955358330374,-35.04,-34.079998,-33.78,-33.54,-32.28,-24.8543397,0.5901347571154978,-26.22,-25.199999,-24.9,-24.539999,-21.24,54.23728118719498,0.437868897136367,51.812838849844965,53.9877152670777,54.26710582090721,54.53447026226338,55.28282916059923,36.0,-13.92,-0.9,38.60798363033221,1,2.3486877021965906,15.367627354512535,0.016290288521436852,0.058240971419726104,0.1031249350281112,0.2679141968366422,108.83436076887916
2,LATERNAWithTraffic2_002,Restaurant,029a77f196804217,5,1000.0,34.318859566,0.43335126473788355,33.12,34.02,34.32,34.62,35.64,-33.89033954,0.41432494739720943,-35.34,-34.14,-33.899998,-33.6,-32.7,-24.896819733999997,0.6675170990963626,-26.279999,-25.32,-24.96,-24.6,-20.699999,54.284259865272176,0.46308396828643333,51.99182588253658,54.04105040963427,54.30775589676409,54.591063936510515,55.702526529413404,36.0,-13.92,-0.9,38.60798363033221,1,2.3591084003227514,15.384414689824776,0.014653083134647447,0.06403876569834602,0.10581540062982113,0.26936696369743046,108.96054590596219
3,LATERNAWithTraffic2_003,Restaurant,029a77f196804217,5,1000.0,34.28555955899999,0.4381473650476772,33.12,33.96,34.26,34.559998,35.52,-33.972059562000005,0.42861015852796774,-35.52,-34.26,-33.96,-33.66,-32.7,-24.947039731999997,0.6610593359595607,-26.34,-25.32,-25.019999,-24.72,-20.699999,54.33713306824744,0.4932507634138513,51.325572157356426,54.07043613521648,54.36860765699622,54.658163118237574,55.72801808785236,36.0,-13.92,-0.9,38.60798363033221,1,2.3723980069346013,15.407813959307793,0.016997561070048198,0.07826920248184874,0.1140587031045706,0.2802647509009165,109.13557461786417
4,LATERNAWithTraffic2_004,Restaurant,029a77f196804217,5,1000.0,34.260839559,0.449254861779459,32.76,33.96,34.26,34.559998,35.52,-33.964619529000004,0.4230437713350318,-35.52,-34.26,-33.96,-33.66,-32.219997,-25.020059723,0.5864874673365007,-26.4,-25.38,-25.08,-24.779999,-21.359999,54.349824777302025,0.4740313398505708,51.325572157356426,54.08776095908196,54.37233303773941,54.64753379979859,55.72801808785236,36.0,-13.92,-0.9,38.60798363033221,1,2.3738595699901106,15.41777380165025,0.017774553462348245,0.06842163489787506,0.11126098341787613,0.30581687395782065,109.20623171039618
5,LATERNAWithTraffic2_005,Restaurant,029a77f196804217,5,1000.0,34.263419567,0.43931869853370525,32.76,33.96,34.26,34.559998,35.52,-33.950039487999994,0.42047786571640544,-35.1,-34.2,-33.96,-33.66,-32.219997,-25.005779719,0.6331526285972962,-26.519999,-25.38,-25.08,-24.72,-20.46,54.33636066253555,0.4540388078351554,51.84350496137399,54.07946606850791,54.369601161796396,54.63509823276877,55.64459003353336,36.0,-13.92,-0.9,38.60798363033221,1,2.3590764409249907,15.417116178680576,0.013275555613709,0.06852397467706134,0.1048566924540861,0.28547971218983126,109.1883688552445
6,LATERNAWithTraffic2_006,Restaurant,029a77f196804217,5,1000.0,34.267079597,0.41681799191682195,32.76,33.96,34.26,34.559998,35.52,-33.910739516,0.4229495927829217,-35.1,-34.2,-33.899998,-33.66,-32.46,-24.973019732,0.6643398187175399,-26.519999,-25.32,-25.019999,-24.72,-20.46,54.29929068588465,0.45069315313362107,51.73955546774634,54.06109043489916,54.34372156579907,54.590133647023805,55.44233715852896,36.0,-13.92,-0.9,38.60798363033221,1,2.3585026623097307,15.39875799441401,0.00932057201801582,0.07369565688899006,0.1097776279598576,0.2763467347694883,109.06014970569082
7,LATERNAWithTraffic2_007,Restaurant,029a77f196804217,5,1000.0,34.250339565999994,0.41915010737011593,32.76,33.96,34.26,34.5,35.52,-33.87689957199999,0.4133919239535519,-35.04,-34.2,-33.899998,-33.6,-32.46,-25.029539722,0.6228724706865683,-26.64,-25.38,-25.08,-24.779999,-21.06,54.293025406450575,0.45755931650845805,51.73955546774634,54.06784717019858,54.34299379773444,54.5881635519152,55.367645684822186,36.0,-13.92,-0.9,38.60798363033221,1,2.36250266482659,15.414704322254545,0.010069314072274224,0.07003553428251945,0.11401458973894393,0.2646790097720516,109.17462286799157
8,LATERNAWithTraffic2_008,Restaurant,029a77f196804217,5,1000.0,34.293959566999995,0.44462621843997385,32.76,34.02,34.26,34.559998,35.579998,-33.917819556000005,0.41007489843602535,-35.219997,-34.2,-33.899998,-33.66,-32.76,-25.037219717,0.5968585221995737,-26.64,-25.38,-25.08,-24.779999,-21.06,54.349503762885305,0.45775489006464387,51.86325867124046,54.096986837302225,54.37921729680413,54.64528511817039,55.546226241933056,36.0,-13.92,-0.9,38.60798363033221,1,2.3630618820735125,15.423764468355754,0.015484850104865455,0.06768632301524416,0.11239532784423256,0.2596584302477484,109.2377251869132
9,LATERNAWithTraffic2_009,Restaurant,029a77f196804217,5,1000.0,34.32503958899999,0.47154318206942397,32.76,34.02,34.32,34.62,35.579998,-33.903899534999994,0.4390603235497176,-35.219997,-34.2,-33.899998,-33.6,-32.7,-25.030439727999998,0.6182326749695198,-26.279999,-25.38,-25.08,-24.779999,-21.359999,54.357946131262736,0.46487545089531884,51.86325867124046,54.0830022153923,54.37145574591375,54.6679683403977,55.73783506452331,36.0,-13.92,-0.9,38.60798363033221,1,2.365320165405173,15.412061895567584,0.009678947750557498,0.07326748456668422,0.11471884944930355,0.30608975219792867,109.15875959846888
